feature_name,idf_weights
nooneissafeuntilweareallsafe,8.313553665
nonsense,8.313553665
nonerupted,8.313553665
nonefortheroad,8.313553665
nominate,8.313553665
noi,8.313553665
noh,8.313553665
nodal,8.313553665
noble,8.313553665
nobel,8.313553665
noactivecases,8.313553665
nkate,8.313553665
nizamuddindargah,8.313553665
nizamuddinauliya,8.313553665
normalcy,8.313553665
northafrica,8.313553665
nuke,8.313553665
northeast,8.313553665
nuisance,8.313553665
nudge,8.313553665
ntai,8.313553665
nowhere,8.313553665
nowadays,8.313553665
novavox,8.313553665
nots,8.313553665
notodeath,8.313553665
notion,8.313553665
notified,8.313553665
noticing,8.313553665
noticed,8.313553665
notfamejustflame,8.313553665
noted,8.313553665
notebandhi,8.313553665
notably,8.313553665
nosocialdistance,8.313553665
letthemeatcake,8.313553665
letsvaccinate,8.313553665
pmgdisha,8.313553665
horror,8.313553665
hostility,8.313553665
hosted,8.313553665
hostal,8.313553665
host,8.313553665
hospitalwomanmedium,8.313553665
hospitality,8.313553665
hosp,8.313553665
horse,8.313553665
horrible,8.313553665
hoa,8.313553665
hopeful,8.313553665
hoorah,8.313553665
holland,8.313553665
holistic,8.313553665
holiest,8.313553665
hole,8.313553665
holdout,8.313553665
hochiminhcity,8.313553665
houseadilabad,8.313553665
houseful,8.313553665
household,8.313553665
househouse,8.313553665
humstyleawards,8.313553665
humor,8.313553665
humint,8.313553665
humiliates,8.313553665
humeral,8.313553665
humanrights,8.313553665
humankind,8.313553665
humanitarian,8.313553665
hula,8.313553665
hugo,8.313553665
hugely,8.313553665
hug,8.313553665
hue,8.313553665
huatian,8.313553665
howya,8.313553665
hove,8.313553665
housing,8.313553665
hoarded,8.313553665
hiv,8.313553665
heath,8.313553665
hematologist,8.313553665
herd,8.313553665
herb,8.313553665
herald,8.313553665
hep,8.313553665
heng,8.313553665
hen,8.313553665
hematooncologist,8.313553665
hematology,8.313553665
hemant,8.313553665
historic,8.313553665
helicopter,8.313553665
hel,8.313553665
heinous,8.313553665
height,8.313553665
hehehe,8.313553665
heh,8.313553665
heeeeeeeee,8.313553665
heed,8.313553665
herdimmunity,8.313553665
hereby,8.313553665
heritage,8.313553665
heroofthenationmodiji,8.313553665
hispanic,8.313553665
hire,8.313553665
hiranandani,8.313553665
hint,8.313553665
hindutva,8.313553665
hindustan,8.313553665
hindurashtra,8.313553665
hindi,8.313553665
himl,8.313553665
himachalpradesh,8.313553665
himachal,8.313553665
highway,8.313553665
highness,8.313553665
hidden,8.313553665
hid,8.313553665
hibiscus,8.313553665
hesitation,8.313553665
hurdle,8.313553665
hush,8.313553665
hussain,8.313553665
inadequate,8.313553665
incitement,8.313553665
incharge,8.313553665
inch,8.313553665
incentivize,8.313553665
incentive,8.313553665
inc,8.313553665
inaugurating,8.313553665
inaugurated,8.313553665
inaccurately,8.313553665
hydra,8.313553665
inability,8.313553665
imvaccinatedareyou,8.313553665
imskahmed,8.313553665
imran,8.313553665
improving,8.313553665
improve,8.313553665
impression,8.313553665
impressed,8.313553665
incoming,8.313553665
incompetence,8.313553665
inconsistent,8.313553665
inconvenience,8.313553665
indianarmy,8.313553665
indiamaangerahul,8.313553665
indiainfoline,8.313553665
indiaindiajai,8.313553665
indiaindia,8.313553665
indiagovt,8.313553665
indiaforcovidfree,8.313553665
indiafirstlivesale,8.313553665
indiafightscovid,8.313553665
independence,8.313553665
indent,8.313553665
incurable,8.313553665
incredibly,8.313553665
incredible,8.313553665
increasingly,8.313553665
incr,8.313553665
incorrect,8.313553665
impotent,8.313553665
importing,8.313553665
imported,8.313553665
igotvacinnated,8.313553665
ignorant,8.313553665
ig,8.313553665
ifthe,8.313553665
iflynfeast,8.313553665
idiopathic,8.313553665
idiocy,8.313553665
identify,8.313553665
iceland,8.313553665
ice,8.313553665
iccworldtestchampionship,8.313553665
iamwithkpoli,8.313553665
iamvccinatedsg,8.313553665
iambic,8.313553665
iactivatedvaccines,8.313553665
ia,8.313553665
hypertension,8.313553665
hype,8.313553665
ignores,8.313553665
ikthiar,8.313553665
importation,8.313553665
illogical,8.313553665
importantly,8.313553665
implant,8.313553665
impetus,8.313553665
imperfection,8.313553665
impending,8.313553665
impacted,8.313553665
immunotherapeutics,8.313553665
immunological,8.313553665
immunocompromised,8.313553665
immunityboost,8.313553665
immuneresponse,8.313553665
immortal,8.313553665
immigration,8.313553665
immediatly,8.313553665
immaturity,8.313553665
imagined,8.313553665
illusion,8.313553665
heaven,8.313553665
heat,8.313553665
letsfightcoronavirus,8.313553665
gowliguda,8.313553665
grassroot,8.313553665
graphical,8.313553665
graphic,8.313553665
graph,8.313553665
grandson,8.313553665
grandpa,8.313553665
grandchild,8.313553665
grain,8.313553665
govtofmaharashtra,8.313553665
goody,8.313553665
governor,8.313553665
governmentofkarnataka,8.313553665
gotthedose,8.313553665
gosh,8.313553665
goran,8.313553665
gop,8.313553665
goose,8.313553665
goofed,8.313553665
gratefully,8.313553665
grave,8.313553665
greater,8.313553665
greatest,8.313553665
guitar,8.313553665
guinness,8.313553665
guinea,8.313553665
guerre,8.313553665
gudhachandraji,8.313553665
gucci,8.313553665
