,Text
90,Safe distancing measure are not comply as the queue is less than a metre due to the overwhelming human traffic at Causeway Point.  There is a control of the number of visitors within the complex. #StaySafe
91,For safe distancing aim and shoot from 1 m away #MarksMan #TeamPixel #DontPlayPlay @ National Museum of Singapore https://t.co/PeQC68I6bY
92,Safe distancing measures in place? https://t.co/oYk46nbJ0U
93,@flyscoot Wth is this? Paid $1300 for a one-way to Tianjin with no safe-distancing during #Covid_19. No empty seats between unrelated passengers. I was not informed and I did not sign up for this. #singapore https://t.co/izlad3PnyG
94,"Ireland plans for a second Lockdown for another 6-weeks. Stay Safe people and practice Social Distancing.
.
.
.
#covid19 #ireland #staystrong #socialdistancing #ireland #euro @ Singapore https://t.co/YMlSqIeRt4"
95,@xinzaixinjiapo 飲食店は人が多いように見えて8月の売上が対前年-30%位なんですよね...今はもっと改善してきてるかもしれませんがsafe distancingとInbound無しだと限界あるのか...とは言っても、よっぽどアメリカとかより状況良いはずなので早くキャッチアップしてほしいですね😭
96,"Get out and get moving today! Let’s stay vigilant and look out for each other with the safe management measures implemented 😄👌🏼

✔️ Practise safe distancing 
✔️ Use contact tracing via SafeEntry 
✔️ Undergo temperature screening 
✔️ Wear face mask when resting https://t.co/gqwuheMgwn"
97,@LeanneStewart @eccemarco If some white / western expats here being kicked out for flouting lockdown rules and safe distancing measures are anything to go by…
98,"This is how to make sure “Covid19 doesn’t dominate lives”. Follow the science, masks, safe distancing, testing, contact tracing etc... NZ, Taiwan, SKorea, Hong Kong, etc have done it.. but Trump and his enablers can’t relate. https://t.co/3WxjDri65C"
99,Nabei fucking safe distancing ambassador just cough infront of me without mask
100,#HolyCommunion #Service #SafeDistancing #Max50 https://t.co/GJG7qNa5Nv
101,"jewel is a potential hotspot for covid. no safe distancing enforcement, everyone is too close to each other. it's a hypochondriac's worst nightmare during this pandemic."
102,"Hala! Tago! Baka mahuli ng Safe Distancing Ambassadors!  Napatid 🙄🤭 #struggleisreal #tago #ingat @ River Valley, Singapore https://t.co/y37KRvx9U4"
103,@iamkarendavila safe distancing inside the public transport here in Singapore were already lifted after the circuit breaker which is around first week of june. face shield is not a requirement here but face mask is mandatory. talking with each other and answering calls are being discouraged.
104,Safe distancing @ Singapore https://t.co/sPKhSFVGoq
105,Doing a platoon huddle while observing safe distancing has to be the biggest oxymoron in this reservist cycle.
106,"_
This institution is 20 years old &amp; nothing much has change; even the buffet prices remain in situ.
_
Its pack on a Tue nite; with safe distancing measures in place of course &amp; entrance is via the back of the Hotel… https://t.co/N76GQAVeB9"
107,"Thank u @yahuiyh for d kind reviews ! We r ready to Feed Singapore  !!  Call now for an affordable n yummy good time . Chef Candy dishes r very Aroy! #dunsayibojio 
Due to safe distancing n crowd control , best is… https://t.co/OJfkMvrdz9"
108,"@lzy3 Thank you :)
Always welcome! It’s already open now, though with very limited capacity to maintain safe distancing :)"
109,"Please be safe guys .. take all precautions and safety measures. 

Try to avoid crowded places and maintain social distancing.  #Coronavirus #SafetyFirst #COVID19 https://t.co/gt7Evgcjqd"
110,Some people are either just plain dumb or don't care a feck about #SafeDistancing Selfish bastard 🤬
111,"30082020 First time bumping into short queue for SAFRA Mount Faber Swimming Pool, no thanks to the 50-people limit imposed for COVID-19 safe distancing measures #SAFRA #MountFaber #SwimmingPool #BurnFatsTime #Apple… https://t.co/dS3xrc04cB"
112,"My quiet moments (safe distancing measures do have it’s benefits when one needs that space). 我也可以文青的 （不一定假掰喔）。
.
.
.
.
.
#tgif #friday #fridayvibes #safedistancing #singapore #igsingapore #instasingapore #starbucks… https://t.co/OcYBesO91D"
113,tangina ang ggwapo ng mga safe distancing ambassador dito sa IKEA at ang sasarap pa. Kahit naka mask sila makikita mo talaga ugh 🥵
114,Great to be back in the #CISDesign workshop @CISsingapore with students safe distancing for a preliminary investigation of flatpack joining techniques. https://t.co/VIP6ZK9UQq
115,"After 5months, makakakain na ulet kita 🤤😘😍 @jollibee 

#Jollibee #Burgersteak #Chickenjoy #BeeHappy #safedistancing #HappyKid @ Jollibee Singapore at Lucky Plaza, Orchard https://t.co/GEMHDhd1rI"
116,"For the first time, the opening of Parliament will take place in two locations, Parliament and the old Parliament House! With safe distancing measures in place, and numbers including guests, we would not have been… https://t.co/kjNt6dgvNe"
117,"was in VivoCity earlier. There were so many safe distancing ambassadors on duty, never seen so many of them at this place before....mmmmm.."
118,"What a great way to get creative while maintaining safe distancing measures on National Day.

Pic taken before National Day. @ Jurong East, Singapore https://t.co/Sw7klQHfbC"
119,Spoke to a partner in Thailand. Same scene there as well. Almost back to normal but with new safe-distancing rules. Queuing for elevators after lunch break is back!
120,"@MichelsTristan In Singapore, cinemas are already open for business, albeit with restrictions (such as staggered seating and wearing a mask at all times unless eating and drinking).

After Bigfoot Family last month, I'll be watching Tenet next, but will practice safe distancing at all times."
121,Did an observational drawing (of a cuboid seat) on #procreate app on a #iPadPro which turned abstract and let my craziness loose... haha 😛 it’s a commentary piece about the danger of not safe distancing in #COVID-19… https://t.co/H6kUyqpzcz
122,Did an observational drawing (of a cuboid seat) on #procreate app on a #iPadPro which turned abstract and let my craziness loose... haha 😛 it’s a commentary piece about the danger of not safe distancing in #COVID-19… https://t.co/j865Z8yGgU
123,"2020 is such a great number.. but sadly it’s a year of misery.. not only to some of us, but to the world.. 

Let’s support each other.. stay strong and safe.. wear your mask, social distancing pliz! We will get thru… https://t.co/HVcEkLPRh8"
124,"Happy 55th National Day 🇸🇬
.
Face mask, Social Distancing + Wash hands, Check our temperature &amp; stay safe always 🤗
.
#S2304 #infiniteimaginations #pantunism #singapore #ndp2020 @ Singapore https://t.co/APhCY4iFMg"
125,"These days shoots includes bringing own utensils,  mask on when not your turn.. extra #safetymeasuresonshoot take temperature 3x , safe distancing... BUT one thing nvr change .. wen u hv a gd pdn house n da boss n… https://t.co/CsA6Lfycjh"
126,Can you name ways to practice safe distancing without being socially distant?
127,"Our Sunday worth spending with our favourite team mates. 
.
.
Thank you to our two dear coaches @hardimohamed and Andrew for the splashing morning fun and ensuring that safe distancing measures were adhered among… https://t.co/3vlrqI5P33"
128,"Salam #eiduladha2020 to all Muslims around the world. As y’all can see, I’m tryin’a squeeze my tight body into this #fly Raya outfit. Stay safe &amp; don’t forget your social &amp; physical distancing! &amp; to the rest, happy… https://t.co/TX3nGAwjth"
129,#pokemongofest2020  Gofest 2020 Day 2 had just ended here in Singapore. And gonna say I kinda like it when you are able to go outside and remember the safe distancing rules that apply here i feel happy. And able to meet my friends again to play. Some traded shinys duriny the day https://t.co/3Nx6JL70Wx
130,"Our recipe for a great ride: small group, punchy segments, scenic (round the island) route. Safe distancing was observed. https://t.co/Rz1kfTY4bb"
131,"The lights are much brighter there 
You can forget all your troubles, forget all your cares
So go to mcdsg 

#covid19 #phase2 #day35
#mcdonalds #safedistancing #isabelmarant @ McDonald's https://t.co/6PIABU80bG"
132,"Good work Bengaluru Airport, highly commendable efforts to keep physical distancing. Thank you for keeping us safe 🙏🏼 

@BLRAirport 

@airindiain is another story... flight is too full to be physically distanced. But thank you for bringing us home 😌 https://t.co/xbNmIYS7iz"
133,"Practicing safe distancing while working out at home with my personal trainer.  Thank goodness he lives down the road from me.

#IFCPTOnline
#homeworkout #workout #fitnessathome #Stayhome #stayhealthy… https://t.co/ZnVeZ4SEKp"
