,Text
65,"Exploring my archives | “you’re too close!” | #stayhome #covi̇d19 #safedistancing #exploringsgfromhome #sgmemory #scalybrestedmunia #sgbirds @ Pulau Ubin, Singapore https://t.co/rtkXmFKGJ6"
66,Day 11 of circuit breaker period. #safedistancing Thanks so much for the lovely handmade fabric mask! @ The Star Vista https://t.co/SLMJgq8F6t
67,Day 9 of circuit breaker period. #safedistancing @ The Star Vista https://t.co/Z6osGgDvch
68,"dinner tonight!!!

#crcheers #quircsingapore #homemademeals #staysafeandhealthy #covid19 #seabass #safedistancing @ Evania https://t.co/ebe3CQFReC"
69,Day 7 of circuit breaker period. #safedistancing @ Tiong Bahru Plaza https://t.co/WRxuuJXwZj
70,"happy good friday!!!

#crcheers #quircsingapore #adventuresofalifetime #staysafeandhealthy #covid19 #greendot #safedistancing @ Evania https://t.co/ji3omsKdEx"
71,#crcheers #quircsingapore #homemademeals #staysafeandhealthy #safedistancing #covid19 @ Evania https://t.co/7Qywnnz2Po
72,Safe distancing? #wetmarket #socialdistancing #safedistancing #singapore #covid19 #sgmemory @ Chong Pang Market https://t.co/tKi79bi8FS
73,Day 3 of circuit breaker period. #safedistancing ambassador. @ The Star Vista https://t.co/my3oAbDwkq
74,"lunch today...

#crcheers #quircsingapore #homemademeals #staysafeandhealthy #safedistancing #covid19 @ Evania https://t.co/SmoL7jJvv6"
75,"These F&amp;B outlets are all open. With the social distancing rules in place, only take out orders are allowed. All the chairs have been removed #safedistancing #covid19 #sgunited https://t.co/VdyIo8dsVe"
76,"lunch today.

#crcheers #quircsingapore #homemademeals #staysafeandhealthy #safedistancing #covid19 @ Evania https://t.co/U56g2TqPCL"
