,Text
144,"The Sun: “How do we know that people coming in to Canada aren’t bringing in the virus?”
The Feds: “Because now they will be required to show a negative COVID test at point of entry”
The Sun: “Look, just end the lockdown, it’s useless, we all need to learn to live with the virus”"
145,"Coming out of the intense writer’s block I experienced during the initial lockdown, I found Kafkaesque solace in one of my favorite non-English language films, the Hungarian classic, Kontroll. @FilmInquiry https://t.co/cMbddnPETr"
146,In my search for new lockdown activities I wonder: would any of you be interested in becoming old timey pen pals? Or is this a stupid idea?
147,"@charlieulm @floplag @UCSUSA @JaneLubchenco @JoeBiden @sciam Yes, and economists are not scientists.  The anti-lockdown perspective that it will cause “more harm” is just an opinion.  Not saying one is more valid than the other, just getting real tired of scientists being accused of “agendas” instead of “business interests” that do more so"
148,"@pamboy712 @atrupar BECAUSE...
Google New Zealand COVID lockdown:-)"
149,"@LaurenShaw17 I’m completely off the Roman calendar. I’ll celebrate New Years in March, on the anniversary of NY’s lockdown. We’re in A.C. (After Covid) times, now."
150,@PascoSheriff 9pm lockdown complete in Chattanooga Tennessee https://t.co/H3N2LT0fTK
151,@Lockdown_In_PHX @Goss30Goss I dig it!
152,Still crazy how my car gone in the body shop and we get lockdown so it spent months in there😂
153,I swear lockdown and social distancing means nothing to anyone anymore. https://t.co/8JODfor4rk
154,"@Char_lot_J I have issues with depression and I am so glad to be living in the great state of Florida. Minimal restrictions and no lockdown Has done me a lot of good. I feel for the rest of you. You are being controlled, not kept secure."
155,"Fighting Stigma : Today FM Quiz - Week 8 - Answers: Question 3, On what date did Leo Varadkar announce Ireland's first lockdown? ... Question 14, What did Elon Musk and Grimes name their child? https://t.co/uWCtKmKVcN"
156,So the Ontario finance minister goes on holiday to the Caribbean while the rest of Ontario is on lockdown!. Fire his ass and take his pension away. Maybe then he will think twice about vacationing south during a pandemic!
157,@PatsNewEra @theroxyd That’s why Boston didn’t turn into 28 Days Later after lockdown went into effect.
158,"@TshegoMoagi_ Is RSA gonna go back in lockdown again soon, Tshego?"
