,Text
135,"Printed sp water bill paper but never bring out. Smh.
Login from phone sp utility app dunno the password.
Smh

Lucky email got receipt electronic.

Also I have account number in my online excel file too..

So many ways to get masks! 

Singapore is good! https://t.co/IelXq65Yvs"
136,@grubbypea if no need mask liao why are they giving out more masks https://t.co/2I6GaBE9a9
137,"Baystate Business: Covid, Masks, Polls (Radio) https://t.co/5jvP3WTQb5"
138,"Gotta collect my free masks in style 😎😬😘

#miamivicef52 #freitagtoday #freitag #freitag_today #frtg_today #frtg #freitagbag #freitagtasche @ Singapore, City. Asia. https://t.co/JTDw2OHhUe"
139,@straits_times Was at Blk 721 Ang Moh Kio Avenue 8 and one male just sneezed with mask down and 2 diners who sat a safe distance from him immediately put on their masks and shift table. Guess the time is not right yet to raise capacity cap at coffeeshop
140,"Instead of getting senior citizens to get vaccinated, please consider getting the senior citizens educated on personal hygiene and social responsibility. Even during this Covid period, there are still those when not many people around, lift up their masks to spit out phlegm."
141,Baystate Business: Vaccines and Masks (Radio) https://t.co/mLxytXBYCE
142,I hate wearing masks 😭 it's annoying and aggravating.
143,@lahiruDar Interesting 😆 @aruna_jaya67  aiye no rules on masks back in UK ?
144,"Masks at Goldman, Scrutiny at Morgan Stanley as Delta Spreads https://t.co/8LgZmQdZsg"
145,Depression Masks https://t.co/JTlX6VkGMF https://t.co/9pwg6ruOml
146,"美国疫情高居不下：是两党政见分岐的结果。
共和党人不支持戴口罩和种疫苗!

The epidemic in the United States remains high: it is the result of political differences between the two parties.
 Republicans do not support wearing masks and vaccines! https://t.co/wpLz0ijpkJ"
147,"No masks, no distancing #IndvsEng https://t.co/HIv8Jcu4iy"
148,"She's stupid enough to not wear masks in general, but is she really stupid enough to repeatedly wear it upside down when she has to? https://t.co/YdiT1DAos5"
149,People who believe in wearing masks don’t understand why certain groups are anti-mask—Vice versa. No biggie. We have to hold any personal responsibility for any action we do. #wearmask #antimask
150,"@darlingstardust I was there last week with Mariska. No one was clamoring her at all…you can see in my video clips. Everyone stood in line and waited their turn for a selfie. And yes, she was directing traffic at points. Everyone had masks and kept their distance. WL is such a drama Queen 🙄"
